x, y, theta, left_speed, right_speed
11.50,0.12,0.01,0.08,0.09
24.83,0.30,0.02,0.15,0.16
37.73,0.49,0.01,0.23,0.23
49.52,0.56,0.00,0.27,0.26
62.85,0.61,0.01,0.24,0.26
74.49,0.69,0.01,0.32,0.34
89.08,0.80,0.00,0.29,0.27
103.95,0.86,0.00,0.29,0.29
119.52,0.90,-0.00,0.40,0.41
130.88,0.92,0.00,0.25,0.25
144.35,0.98,0.01,0.31,0.31
160.77,1.12,0.01,0.67,0.67
172.69,1.20,0.01,0.44,0.44
186.30,1.33,0.01,0.45,0.47
200.61,1.50,0.01,0.33,0.33
218.14,1.70,0.01,0.76,0.77
230.49,1.82,0.01,0.50,0.50
244.09,1.95,0.01,0.45,0.45
256.58,2.03,0.00,0.47,0.44
269.77,2.08,0.00,0.45,0.47
283.37,2.12,0.00,0.78,0.78
296.28,2.12,0.00,0.50,0.48
310.17,2.11,-0.00,0.49,0.47
326.16,2.04,-0.00,0.46,0.48
341.73,1.95,-0.01,0.97,0.97
357.87,1.85,-0.01,0.26,0.27
372.32,1.74,-0.01,0.88,0.86
384.24,1.65,-0.01,0.64,0.64
400.51,1.49,-0.01,0.69,0.69
416.22,1.31,-0.02,0.63,0.62
428.01,1.12,-0.02,0.70,0.70
441.75,0.91,-0.02,0.26,0.27
456.76,0.70,-0.01,0.43,0.43
471.49,0.52,-0.01,0.26,0.26
486.64,0.37,-0.01,0.39,0.41
500.95,0.23,-0.01,0.34,0.32
514.98,0.10,-0.01,0.49,0.49
529.29,-0.07,-0.01,0.36,0.35
542.19,-0.20,-0.01,0.76,0.76
558.05,-0.35,-0.01,0.40,0.40
569.55,-0.44,-0.01,0.39,0.40
583.44,-0.53,-0.00,0.45,0.48
595.36,-0.55,-0.00,0.52,0.54
607.43,-0.57,-0.00,0.27,0.26
621.74,-0.57,-0.00,0.43,0.43
634.22,-0.56,0.00,0.36,0.37
647.55,-0.52,0.01,0.32,0.32
661.02,-0.43,0.01,0.41,0.41
673.22,-0.33,0.01,0.26,0.25
685.14,-0.18,0.01,0.16,0.17
697.91,-0.02,0.01,0.26,0.28
709.41,0.06,0.00,0.28,0.25
721.48,0.05,-0.01,0.28,0.24
733.12,-0.07,-0.01,0.38,0.37
744.48,-0.19,-0.01,0.22,0.23
755.99,-0.29,-0.00,0.36,0.38
767.63,-0.34,-0.00,0.15,0.15
780.26,-0.31,0.01,0.19,0.19
792.32,-0.23,0.01,0.14,0.15
804.53,-0.10,0.02,0.10,0.10
817.01,0.11,0.02,0.21,0.19
828.37,0.31,0.02,0.17,0.21
840.15,0.62,0.03,0.18,0.18
852.91,0.99,0.03,0.19,0.21
864.69,1.35,0.03,0.17,0.17
876.19,1.67,0.03,0.21,0.21
888.11,2.12,0.04,0.16,0.15
900.72,2.68,0.04,0.10,0.11
912.77,3.21,0.05,0.24,0.24
924.68,3.82,0.06,0.16,0.16
936.44,4.59,0.07,0.10,0.12
948.05,5.49,0.08,0.08,0.07
959.52,6.39,0.07,0.14,0.12
971.83,7.32,0.08,0.16,0.16
983.02,8.17,0.06,0.18,0.14
995.35,8.63,0.00,0.19,0.11
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
